                                                                        Cells by Master                                                                         
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Cell                                                                                                                             ┃ Count                     ┃
│ sky130_fd_sc_hd__o31a_1                                                                                                          │ 2                         │
│ sky130_fd_sc_hd__o31ai_1                                                                                                         │ 1                         │
│ sky130_fd_sc_hd__o31ai_2                                                                                                         │ 1                         │
│ sky130_fd_sc_hd__o31ai_4                                                                                                         │ 1                         │
│ sky130_fd_sc_hd__o32a_1                                                                                                          │ 1                         │
│ sky130_fd_sc_hd__o41a_1                                                                                                          │ 4                         │
│ sky130_fd_sc_hd__or2_1                                                                                                           │ 14                        │
│ sky130_fd_sc_hd__or2_4                                                                                                           │ 2                         │
│ sky130_fd_sc_hd__or3_1                                                                                                           │ 5                         │
│ sky130_fd_sc_hd__or3_4                                                                                                           │ 4                         │
│ sky130_fd_sc_hd__or3b_1                                                                                                          │ 1                         │
│ sky130_fd_sc_hd__or4_4                                                                                                           │ 3                         │
│ sky130_fd_sc_hd__tapvpwrvgnd_1                                                                                                   │ 172                       │
│ sky130_fd_sc_hd__xnor2_1                                                                                                         │ 54                        │
│ sky130_fd_sc_hd__xnor2_2                                                                                                         │ 2                         │
│ sky130_fd_sc_hd__xnor2_4                                                                                                         │ 1                         │
│ sky130_fd_sc_hd__xor2_1                                                                                                          │ 30                        │
│ sky130_fd_sc_hd__xor2_2                                                                                                          │ 2                         │
└──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┴───────────────────────────┘
