Generating synthetic dataset ...
Train: (2000, 1, 16, 16)  Val: (400, 1, 16, 16)
Config: {'conv_layers': [(8, 3, 1)], 'pool_size': 2, 'pool_stride': 2, 'dense_layers': [64], 'n_classes': 10, 'batch_size': 32, 'n_epochs': 3, 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 42, 'input_shape': (1, 16, 16)}

Epoch   1 | loss 0.4992 | val acc 1.0000
Epoch   2 | loss 0.0270 | val acc 1.0000
Epoch   3 | loss 0.0097 | val acc 1.0000

Final val accuracy: 1.0000
         568786 function calls (566246 primitive calls) in 1.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      378    0.104    0.000    0.106    0.000 cnn.py:219(backward)
      378    0.000    0.000    0.092    0.000 einsumfunc.py:1244(einsum)
      378    0.091    0.000    0.091    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
   137376    0.063    0.000    0.063    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    14592    0.008    0.000    0.060    0.000 fromnumeric.py:1221(argmax)
    14840    0.006    0.000    0.053    0.000 fromnumeric.py:48(_wrapfunc)
        1    0.000    0.000    0.050    0.050 __config__.py:1(<module>)
    14631    0.044    0.000    0.044    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    15669    0.041    0.000    0.041    0.000 {built-in method numpy.zeros}
      117    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:826(get_code)
    14832    0.023    0.000    0.028    0.000 numeric.py:97(zeros_like)
        1    0.000    0.000    0.028    0.028 _arraypad_impl.py:1(<module>)
      378    0.026    0.000    0.026    0.000 cnn.py:183(backward)
      117    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:947(get_data)
        1    0.000    0.000    0.025    0.025 _index_tricks_impl.py:1(<module>)
        1    0.001    0.001    0.022    0.022 train.py:49(generate_synthetic)
      150    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    0.021    0.021 defmatrix.py:1(<module>)
      138    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
